2,2,2,2,2,2,2,2,
5,5,5,5,5,5,5,5,
16,15,9,6,6,6,10,8,
65,49,21,13,13,13,25,17,
326,218,37,14,14,14,80,28,
1957,901,85,29,29,29,271,61,
13700,5549,149,30,30,30,1321,104,
109601,28001,341,61,61,61,5745,233,
986410,,597,62,62,62,38570,404,
9864101,,1365,125,125,125,,917,
,,2389,126,126,126,,1600,
,,5461,253,253,253,,3649,
,,9557,254,254,254,,6380,
,,21845,509,509,509,,14573,
,,,510,510,510,,25496,
,,,1021,1021,1021,,,
,,,1022,1022,1022,,,
,,,2045,2045,2045,,,
,,,2046,2046,2046,,,
,,,4093,4093,4093,,,
