2,2,2,2,2,2,2,2,
5,5,5,5,5,5,5,5,
16,13,13,16,16,16,13,13,
65,45,21,17,17,17,32,20,
326,156,45,35,35,35,90,41,
1957,517,109,106,517,106,259,97,
13700,2928,173,107,518,107,1193,152,
109601,13689,365,215,1499,215,4906,317,
986410,57205,877,646,185070,646,18586,757,
9864101,,1389,647,,647,,1196,
,,2925,1295,,1295,,2513,
,,7021,3886,,3886,,6025,
,,11117,3887,,3887,,9536,
,,23405,7775,,7775,,20069,
,,,23326,,23326,,48157,
,,,23327,,23327,,,
,,,46655,,46655,,,
,,,139966,,139966,,,
,,,139967,,139967,,,
,,,279935,,279935,,,
