Threads,Simple,Simple Stateful,Simple with Sleep,DPOR,SDPOR,DPOR with Sleep
1,9,9,9,9,9,9
2,48619,8419,81,17,17,17
3,,,729,25,25,25
4,,,6561,33,33,33
5,,,59049,41,41,41
6,,,,49,49,49
7,,,,57,57,57
8,,,,65,65,65
9,,,,73,73,73
10,,,,81,81,81
11,,,,89,89,89
12,,,,97,97,97
13,,,,105,105,105
14,,,,,,342
15,,,,,,1220
16,,,,,,5258
,,,,,,28292
