Threads,Simple,Simple Stateful,Simple with Sleep,DPOR,SDPOR,DPOR with Sleep
1,0.004,0,0,0,0.004,0
2,0.192,0.076,0,0,0.008,0
3,,,0.04,0.004,0.032,0
4,,,0.468,0.004,0.072,0.004
5,,,5.23,0.004,0.152,0.008
6,,,,0.012,0.268,0.008
7,,,,0.012,0.484,0.012
8,,,,0.012,0.716,0.016
9,,,,0.02,1.244,0.02
10,,,,0.024,1.56,0.02
11,,,,0.024,2.196,0.024
12,,,,0.032,3,0.032
13,,,,0.032,3.9,0.036
14,,,,,,0.136
15,,,,,,0.704
16,,,,,,5.14
17,,,,,,53.1
