0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,
0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,
0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,
0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,
0.002,0.004,0.002,0.002,0.002,0.002,0.002,0.002,
0.002,0.008,0.002,0.002,0.004,0.002,0.002,0.002,
0.012,0.236,0.002,0.002,0.002,0.004,0.016,0.004,
0.136,6.236,0.004,0.002,0.004,0.002,0.296,0.002,
1.328,,0.012,0.002,0.002,0.002,12.156,0.008,
14.572,,0.076,0.002,0.004,0.004,,0.04,
,,0.284,0.002,0.004,0.004,,0.14,
,,0.988,0.002,0.008,0.008,,0.488,
,,3.864,0.004,0.004,0.008,,1.768,
,,15.584,0.004,0.012,0.016,,6.852,
,,,0.004,0.012,0.024,,31.696,
,,,0.008,0.032,0.048,,,
,,,0.008,0.032,0.064,,,
,,,0.016,0.072,0.124,,,
,,,0.02,0.08,0.132,,,
,,,0.036,0.156,0.292,,,
