0.,0.,0.,0.,0.,0.,0.,0.,
0.,0.,0.,0.,0.,0.,0.,0.,
0.,0.,0.,0.,0.,0.,0.,0.,
0.,0.,0.,0.,0.,0.,0.004,0.,
0.,0.,0.,0.,0.,0.004,0.,0.,
0.004,0.,0.,0.,0.004,0.,0.004,0.,
0.016,0.016,0.,0.,0.124,0.008,0.008,0.004,
0.116,0.156,0.012,0.004,4.444,0.036,0.052,0.012,
1.26,6.144,0.016,0.004,4.468,0.044,1.372,0.016,
13.588,,0.108,0.012,19.456,0.132,77.044,0.092,
,,0.332,0.032,,0.488,,,
,,1.188,0.132,,2.428,,,
,,4.04,0.144,,2.576,,,
,,15.152,0.3,,6.332,,,
,,,1.024,,21.288,,,
,,,4.192,,,,,
,,,4.604,,,,,
,,,9.768,,,,,
,,,31.016,,,,,
,,,125.96,,,,,
