0.,0.,0.,0.,0.,0.,0.004,0.,
0.,0.,0.,0.,0.,0.,0.,0.,
0.,0.,0.,0.,0.,0.,0.,0.,
0.,0.,0.,0.,0.,0.,0.,0.,
0.,0.,0.,0.,0.,0.,0.,0.,
0.004,0.004,0.,0.,0.016,0.004,0.,0.004,
0.016,0.056,0.,0.,0.012,0.,0.016,0.,
0.136,1.196,0.008,0.,0.052,0.008,0.18,0.004,
1.28,16.404,0.02,0.,87.656,0.012,2.056,0.016,
14.248,,0.08,0.,,0.02,,0.068,
,,0.28,0.004,,0.044,,0.228,
,,1.02,0.016,,0.156,,0.852,
,,3.836,0.016,,0.172,,2.912,
,,14.544,0.04,,0.428,,10.852,
,,,0.12,,1.484,,47.364,
,,,0.172,,1.624,,,
,,,0.284,,3.568,,,
,,,0.864,,11.164,,,
,,,0.964,,13.044,,,
,,,1.964,,25.716,,,
