0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,
0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,
0.004,0.192,0.002,0.002,0.002,0.002,0.002,0.002,
1.236,,0.004,0.002,0.002,0.002,0.002,0.002,
,,0.008,0.002,0.002,0.002,0.002,0.002,
,,0.028,0.002,0.002,0.002,0.002,0.002,
,,0.2,0.004,0.002,0.002,0.002,0.002,
,,4.328,0.002,0.002,0.002,0.002,0.002,
,,41.496,0.002,0.002,0.002,0.002,0.002,
,,,0.002,0.002,0.002,0.004,0.002,
,,,0.002,0.002,0.002,0.002,0.004,
,,,0.002,0.002,0.004,0.002,0.002,
,,,0.002,0.002,0.004,0.002,0.002,
,,,0.002,0.004,0.002,0.002,0.004,
,,,0.002,0.004,0.002,0.002,0.004,
,,,0.002,0.004,0.002,0.002,0.008,
