5,5,5,5,5,5,5,5,
251,251,25,9,9,9,9,9,
110251,110251,125,13,13,13,255,29,
,,625,17,17,17,110255,129,
,,3125,21,21,21,,629,
,,15625,25,25,25,,3129,
,,78125,29,29,29,,15629,
,,,33,33,33,,78129,
,,,37,37,37,,,
,,,41,41,41,,,
