Threads,Simple,Simple Stateful,Simple with Sleep,DPOR,SDPOR,DPOR with Sleep,
1,0,0,0,0,0,0,
2,0.008,0,0,0.004,0.024,0,
3,0.512,0.312,0,0.008,4.856,0,
4,81.5,455.6,0.008,0.044,,0.004,
5,,,0.02,0.42,,0.004,
6,,,0.048,4.46,,0.012,
7,,,0.116,47.2,,0.016,
8,,,0.376,,,0.02,
9,,,1.408,,,0.036,
10,,,4.86,,,0.068,
11,,,17.48,,,0.116,
12,,,,,,0.188,
13,,,,,,0.332,
14,,,,,,0.592,
15,,,,,,1.128,
16,,,,,,2.176,
17,,,,,,4.072,
18,,,,,,8.012,
19,,,,,,16.476,
20,,,,,,34.672,
